sj,age,gender,op1,op2,probe,product,prime,filler,probe_type,prime_type,prime_decade_consistency,prime_cond,SOA,acc,RT,block,problem_size,timing
sj00,31,male,6,6,31,36,36,0,unrelated,product,NA,NA,SOA_120,1,677,2,large,ok
sj00,31,male,5,2,12,10,-1,1,filler_neighbour,neutral,NA,neutral,SOA_120,1,1516,2,small,ok
sj00,31,male,6,6,36,36,41,0,product,unrelated,inconsistent,unrel_inc,SOA_070,1,1977,2,large,ok
sj00,31,male,5,7,30,35,35,0,neighbour,product,NA,NA,SOA_070,1,1996,2,large,ok
sj00,31,male,6,3,17,18,18,0,unrelated,product,NA,NA,SOA_170,1,1115,3,small,ok
sj00,31,male,8,4,36,32,32,0,neighbour,product,NA,NA,SOA_070,1,1737,3,large,ok
sj00,31,male,4,8,32,32,36,0,product,neighbour,consistent,neigh_con,SOA_170,1,955,3,large,ok
sj00,31,male,4,7,32,28,-1,0,neighbour,neutral,NA,neutral,SOA_120,0,1417,3,small,ok
sj00,31,male,3,5,15,15,-1,0,product,neutral,NA,neutral,SOA_070,1,748,3,small,ok
sj00,31,male,4,8,32,32,36,0,product,neighbour,consistent,neigh_con,SOA_070,0,1132,3,large,ok
sj00,31,male,6,5,30,30,38,0,product,unrelated,consistent,unrel_con,SOA_120,1,1254,3,small,ok
sj00,31,male,4,4,16,16,20,0,product,neighbour,inconsistent,neigh_inc,SOA_070,0,1384,3,small,ok
sj00,31,male,4,7,28,28,26,0,product,unrelated,consistent,unrel_con,SOA_070,0,968,3,small,ok
sj00,31,male,7,5,35,35,40,0,product,neighbour,inconsistent,neigh_inc,SOA_070,1,1244,3,large,ok
sj00,31,male,8,4,37,32,-1,0,unrelated,neutral,NA,neutral,SOA_120,1,841,3,large,ok
sj00,31,male,5,3,15,15,10,0,product,neighbour,consistent,neigh_con,SOA_120,1,661,3,small,ok
sj00,31,male,7,7,42,49,-1,0,neighbour,neutral,NA,neutral,SOA_170,1,949,3,large,ok
sj00,31,male,5,4,20,20,16,0,product,neighbour,inconsistent,neigh_inc,SOA_070,1,547,3,small,ok
sj00,31,male,7,4,32,28,28,0,neighbour,product,NA,NA,SOA_120,0,1084,3,small,ok
sj00,31,male,6,9,54,54,-1,1,filler_product,neutral,NA,neutral,SOA_170,1,1432,3,large,ok
sj00,31,male,4,4,16,16,-1,0,product,neutral,NA,neutral,SOA_170,1,630,3,small,ok
sj00,31,male,5,6,22,30,-1,0,unrelated,neutral,NA,neutral,SOA_070,1,692,3,small,ok
sj00,31,male,7,3,24,21,-1,0,neighbour,neutral,NA,neutral,SOA_070,1,1558,3,small,ok
sj00,31,male,3,5,15,15,20,0,product,neighbour,inconsistent,neigh_inc,SOA_170,1,812,3,small,ok
sj00,31,male,5,5,34,25,-1,0,unrelated,neutral,NA,neutral,SOA_120,1,583,3,small,ok
sj00,31,male,7,5,30,35,35,0,neighbour,product,NA,NA,SOA_120,0,1271,3,large,ok
sj00,31,male,4,4,16,16,-1,0,product,neutral,NA,neutral,SOA_170,1,1013,3,small,ok
sj00,31,male,4,4,12,16,-1,0,neighbour,neutral,NA,neutral,SOA_170,1,695,3,small,ok
sj00,31,male,4,5,17,20,20,0,unrelated,product,NA,NA,SOA_070,1,1385,3,small,ok
sj00,31,male,5,3,15,15,10,0,product,neighbour,consistent,neigh_con,SOA_170,1,714,3,small,ok
sj00,31,male,7,8,56,56,-1,1,filler_product,neutral,NA,neutral,SOA_070,0,1272,3,large,ok
sj00,31,male,4,8,32,32,-1,0,product,neutral,NA,neutral,SOA_070,1,1446,3,large,ok
sj00,31,male,8,4,32,32,36,0,product,neighbour,consistent,neigh_con,SOA_170,0,938,3,large,ok
sj00,31,male,7,5,31,35,-1,0,unrelated,neutral,NA,neutral,SOA_070,1,589,3,large,ok
sj00,31,male,7,6,37,42,42,0,unrelated,product,NA,NA,SOA_070,1,908,3,large,ok
sj00,31,male,4,7,28,28,-1,0,product,neutral,NA,neutral,SOA_070,1,1069,3,small,ok
sj00,31,male,5,5,25,25,34,0,product,unrelated,inconsistent,unrel_inc,SOA_170,1,675,3,small,ok
sj00,31,male,5,8,40,40,32,0,product,neighbour,inconsistent,neigh_inc,SOA_070,1,601,3,large,ok
sj00,31,male,5,3,15,15,11,0,product,unrelated,consistent,unrel_con,SOA_170,1,533,3,small,ok
sj00,31,male,5,5,25,25,34,0,product,unrelated,inconsistent,unrel_inc,SOA_070,1,712,3,small,ok
sj00,31,male,5,3,15,15,23,0,product,unrelated,inconsistent,unrel_inc,SOA_070,1,582,3,small,ok
sj00,31,male,7,6,48,42,42,0,neighbour,product,NA,NA,SOA_070,1,1542,3,large,ok
sj00,31,male,9,6,63,54,-1,1,filler_neighbour,neutral,NA,neutral,SOA_120,0,1334,3,large,ok
sj00,31,male,5,7,40,35,35,0,neighbour,product,NA,NA,SOA_170,1,1320,3,large,ok
sj00,31,male,4,5,17,20,-1,0,unrelated,neutral,NA,neutral,SOA_170,1,628,3,small,ok
sj00,31,male,5,8,40,40,47,0,product,unrelated,consistent,unrel_con,SOA_070,1,893,3,large,ok
sj00,31,male,6,6,36,36,41,0,product,unrelated,inconsistent,unrel_inc,SOA_070,0,1207,3,large,ok
